credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,debt_consolidation,0.1189,829.1,11.35040654,19.48,737,5639.958333,28854,52.1,0,0,0,0
1,credit_card,0.1071,228.22,11.08214255,14.29,707,2760,33623,76.7,0,0,0,0
1,debt_consolidation,0.1357,366.86,10.37349118,11.63,682,4710,3511,25.6,1,0,0,0
1,debt_consolidation,0.1008,162.34,11.35040654,8.1,712,2699.958333,33667,73.2,1,0,0,0
1,credit_card,0.1426,102.92,11.29973224,14.97,667,4066,4740,39.5,0,1,0,0
1,credit_card,0.0788,125.13,11.90496755,16.98,727,6120.041667,50807,51,0,0,0,0
1,debt_consolidation,0.1496,194.02,10.71441777,4,667,3180.041667,3839,76.8,0,0,1,1
1,all_other,0.1114,131.22,11.00209984,11.08,722,5116,24220,68.6,0,0,0,1
1,home_improvement,0.1134,87.19,11.40756495,17.25,682,3989,69909,51.1,1,0,0,0
1,debt_consolidation,0.1221,84.12,10.20359214,10,707,2730.041667,5630,23,1,0,0,0
1,debt_consolidation,0.1347,360.43,10.4341158,22.09,677,6713.041667,13846,71,2,0,1,0
1,debt_consolidation,0.1324,253.58,11.83500896,9.16,662,4298,5122,18.2,2,1,0,0
1,debt_consolidation,0.0859,316.11,10.93310697,15.49,767,6519.958333,6068,16.7,0,0,0,0
1,small_business,0.0714,92.82,11.51292546,6.5,747,4384,3021,4.8,0,1,0,0
1,debt_consolidation,0.0863,209.54,9.487972109,9.73,727,1559.958333,6282,44.6,0,0,0,0
1,major_purchase,0.1103,327.53,10.73891524,13.04,702,8159.958333,5394,53.4,1,0,0,0
1,all_other,0.1317,77.69,10.52277288,2.26,672,3895.958333,2211,88.4,0,0,0,0
1,credit_card,0.0894,476.58,11.60823564,7.07,797,6510.958333,7586,52.7,1,0,0,0
1,debt_consolidation,0.1039,584.12,10.49127422,3.8,712,2760,8311,59.8,0,0,0,0
1,major_purchase,0.1513,173.65,11.00209984,2.74,667,1126.958333,591,84.4,3,0,0,0
1,all_other,0.08,188.02,11.22524339,16.08,772,4888.958333,29797,23.2,1,0,0,0
1,all_other,0.0863,474.42,10.81977828,2.59,797,11951,5656,27.6,0,0,0,0
1,credit_card,0.1355,339.6,11.51292546,7.94,662,1939.958333,21162,57.7,0,0,0,0
1,credit_card,0.0788,484.85,11.73606902,7.05,782,5640.041667,16931,34.6,1,0,0,0
1,debt_consolidation,0.1229,320.19,11.26446411,8.8,672,3760.958333,4822,58.1,0,0,1,0
1,all_other,0.0901,159.03,12.4292162,10,712,1553.958333,14354,36.6,0,2,0,0
1,all_other,0.0743,155.38,11.08214255,0.28,802,4649.958333,1576,5.7,1,0,0,0
1,debt_consolidation,0.1375,255.43,9.998797732,14.29,662,1318.958333,4175,51.5,0,1,0,0
1,all_other,0.0743,155.38,12.20607265,0.28,772,4516.958333,3164,13.7,0,0,0,0
1,all_other,0.0743,155.38,12.20607265,3.72,812,6778.958333,85607,0.7,0,0,0,0
1,debt_consolidation,0.0807,156.84,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,0
1,credit_card,0.1028,275.38,9.798127037,6.4,692,7469.958333,8847,26.9,1,1,0,0
1,home_improvement,0.0743,155.38,11.91839057,0,777,7128.958333,6053,19.5,0,0,0,0
1,home_improvement,0.0807,78.42,11.60823564,11.33,762,6059.958333,7274,13.1,0,0,0,0
1,credit_card,0.087,158.3,11.22524339,15.55,757,4770,66033,23,0,0,0,0
1,all_other,0.0743,155.38,11.46163217,3.83,772,2535,3660,6.8,0,0,0,0
1,credit_card,0.0743,155.38,11.35040654,0.31,787,3540,216,0.6,0,0,0,0
1,credit_card,0.1122,164.23,11.28978191,1.21,672,3990,27185,16.1,3,0,1,0
1,debt_consolidation,0.0996,161.25,10.77895629,8.03,707,4320,28329,48.6,1,0,0,0
1,home_improvement,0.0933,159.77,12.10071213,11.93,717,4498.958333,60568,39.2,1,0,0,0
1,home_improvement,0.0807,156.84,12.10071213,5.55,742,4019,40934,26.3,0,0,0,0
1,debt_consolidation,0.0743,155.38,11.69524702,2.29,777,3540,8379,16.9,0,0,0,0
1,small_business,0.087,94.98,10.1266311,14.54,752,2460,3660,7.8,1,0,0,0
1,home_improvement,0.1028,97.2,12.20607265,0,677,3779.958333,0,0,0,1,0,0
1,credit_card,0.1122,164.23,10.30895266,18.64,702,5190,15840,47.1,0,0,0,0
1,credit_card,0.0838,167.02,11.21182037,14.37,797,5610.958333,6844,14.4,0,0,0,0
1,educational,0.0775,168.6,8.987196821,3,762,6659.958333,1321,16.5,0,0,0,0
1,all_other,0.0838,160.72,10.37349118,14.78,772,4379,4737,23.9,0,0,0,0
1,credit_card,0.0901,159.03,11.19821472,9.96,722,3089.958333,23489,37.6,0,0,0,0
1,debt_consolidation,0.0743,178.69,11.73606902,0.27,792,7488.958333,2817,10.2,0,0,0,0
1,credit_card,0.0743,155.38,10.71441777,1.12,782,5807,1783,0,1,0,0,0
1,small_business,0.1028,323.98,10.217422,10.7,712,1379,3534,54.4,0,0,0,0
1,small_business,0.1059,813.65,10.77895629,4.05,762,2729.958333,2422,23.3,0,0,0,0
1,educational,0.0996,112.87,9.510444964,16.44,712,1649.958333,2864,41.1,1,0,0,0
1,debt_consolidation,0.1596,94.88,10.86283777,12.57,627,1409,3075,92.3,1,0,0,0
1,small_business,0.1059,398.69,11.00209984,17.12,747,14008.95833,17214,8.1,2,1,0,0
1,credit_card,0.1154,39.6,9.903487553,2.04,662,1139,1153,75.8,2,0,0,0
1,credit_card,0.1343,678.08,11.88448902,10.15,682,4209.958333,41674,74.1,0,0,0,1
1,credit_card,0.1249,401.37,11.22524339,15,682,4479,43039,93.4,3,0,0,0
1,all_other,0.0964,205.45,11.00209984,7.72,712,2293.958333,3362,69.3,0,0,0,0
1,debt_consolidation,0.1186,397.75,11.08214255,7.14,682,8730,11868,71.9,0,2,0,0
1,all_other,0.0743,155.38,10.59663473,2.55,772,8189.958333,2562,14,2,0,0,0
1,all_other,0.1028,113.39,9.903487553,1.5,682,1410,1882,32.4,0,0,0,0
1,debt_consolidation,0.1186,99.44,10.49551521,7.47,667,2550,1064,70.9,2,0,1,0
1,credit_card,0.0807,109.79,11.49272276,8.52,752,4979.958333,6432,6,0,1,0,0
1,all_other,0.1059,32.55,10.43382164,14.47,687,1110,4485,36.9,1,0,0,1
1,all_other,0.0996,112.87,11.26446411,11.06,702,4979.958333,16310,20.5,0,1,0,0
1,debt_consolidation,0.0964,160.51,11.77528973,8.55,712,5940,20969,40.2,0,0,0,0
1,debt_consolidation,0.1375,340.57,10.46310334,17.38,707,2699.958333,22213,65.9,0,0,0,0
1,home_improvement,0.0775,156.11,12.32385568,6.48,752,5339.958333,2160,2.3,1,0,0,0
1,credit_card,0.0743,155.38,11.15625052,4.56,812,9809,813,1,0,0,0,0
1,home_improvement,0.0807,235.25,11.91839057,2.72,757,5202,23678,24.4,4,0,0,0
1,debt_consolidation,0.0996,257.99,10.77895629,15.13,722,2640,11289,47.8,3,0,0,0
1,small_business,0.1501,225.37,12.26904744,6.45,677,6240,56411,75.3,0,0,0,1
1,home_improvement,0.0964,80.26,11.22524339,20,772,4920.958333,269,3.8,3,0,0,1
1,home_improvement,0.128,84,10.37349118,20,682,5492,3408,35.1,1,0,0,1
1,debt_consolidation,0.1122,507.46,10.59663473,13.5,712,5368.958333,6513,34.3,3,0,1,1
1,educational,0.0743,124.31,10.59663473,3.45,772,1739.958333,330,11,0,0,0,0
1,credit_card,0.087,63.32,11.15625052,6.07,712,2550,5967,19.8,1,0,0,0
1,all_other,0.1091,130.79,9.798127037,18,707,2192,5533,79.6,1,0,0,0
1,home_improvement,0.0775,93.67,11.73606902,2.14,762,8370,21050,1,0,0,0,0
1,all_other,0.0775,93.67,10.81977828,5.35,762,8370,21050,0.7,0,0,0,0
1,all_other,0.087,88.65,11.69524702,15,742,3026,8155,14.9,1,0,0,0
1,all_other,0.0964,128.41,11.51292546,15,722,3026,8155,14.9,1,0,0,0
1,home_improvement,0.087,94.98,11.03488966,12.23,737,2729.958333,3678,30.7,0,0,0,0
1,debt_consolidation,0.1217,179.8,10.46310334,7.1,662,2944,2040,36.2,2,0,0,0
1,credit_card,0.1533,444.05,11.00209984,19.52,667,2700.958333,33074,68.8,2,0,0,0
1,all_other,0.0775,124.89,11.03165864,3.46,747,2519,1918,17.1,0,0,0,0
1,credit_card,0.1533,644.3,11.40756495,5.24,662,1770,22379,62.2,0,0,0,0
1,small_business,0.0964,642.02,11.47210347,2.86,737,2190,10296,42.5,0,0,0,1
1,small_business,0.1154,104.76,9.61580548,12.24,672,1289.958333,2867,55.1,3,0,0,1
1,debt_consolidation,0.1122,157.66,10.30895266,12.36,682,1770,12310,86.1,0,0,0,0
1,debt_consolidation,0.087,383.87,11.91839057,4.8,767,13349.95833,61921,39.1,0,0,0,0
1,credit_card,0.1122,217.6,11.38509209,18,702,3725,16738,26.1,2,0,0,0
1,all_other,0.0807,297.99,11.05089001,3.49,792,5939,40384,9.2,1,0,0,0
1,debt_consolidation,0.0775,156.11,10.71441777,5,762,2131,1359,5.6,2,0,0,0
1,debt_consolidation,0.1154,329.95,12.32385568,20,727,10292,107501,44.8,2,0,0,0
1,all_other,0.0807,313.67,12.06104687,0.72,787,8010,3054,5.6,3,0,0,0
1,all_other,0.0807,297.99,11.40756495,2.44,792,8717.958333,40384,9.6,0,0,0,0
1,home_improvement,0.0933,239.65,11.44035477,9.66,792,4529,128000,0,3,0,0,0
1,debt_consolidation,0.0712,61.87,11.6784399,0.43,772,5936,4709,18.5,0,0,0,0
1,all_other,0.1186,94.47,10.71441777,2.8,667,5460,2850,75,0,1,0,0
1,small_business,0.1501,73.68,11.47210347,16.89,702,4080,51,0,0,0,0,1
1,home_improvement,0.0807,313.67,11.91839057,5.84,792,5364.958333,37152,3.7,0,0,0,0
1,debt_consolidation,0.0933,543.2,11.22524339,9.55,762,5699.958333,3839,16.6,1,0,0,0
1,home_improvement,0.0807,313.67,11.35040654,3.11,797,5363.958333,37152,3.7,0,0,0,0
1,credit_card,0.1217,266.37,11.15625052,10.2,672,3598.958333,26283,39.5,0,1,0,1
1,debt_consolidation,0.1028,210.6,10.71441777,5.87,692,1741.958333,5607,42.2,0,0,0,0
1,all_other,0.1249,234.15,10.04324949,5.01,662,1110,1061,81.9,3,0,0,0
1,debt_consolidation,0.1028,323.99,11.69524702,14.4,722,4679.958333,56740,77.5,1,0,0,0
1,credit_card,0.1059,235.96,10.95080655,7.22,712,5519,40598,77.3,1,0,0,0
1,debt_consolidation,0.1438,352.22,11.1844214,17.83,687,1289.958333,3815,6.5,1,0,0,0
1,all_other,0.0743,117.31,11.69524702,0,772,3929.958333,0,0,1,0,0,0
1,debt_consolidation,0.0712,64.96,11.60823564,0.22,812,16213,50,0.3,0,0,0,0
1,small_business,0.1565,699.69,11.42954386,1.53,667,3603.958333,4569,56.4,1,0,0,0
1,educational,0.1059,195.27,9.852194258,8.15,692,3089.958333,8528,86.1,0,0,0,0
1,credit_card,0.1122,295.59,10.3859137,22.15,747,2788.958333,14345,45.8,0,0,0,0
1,small_business,0.1122,217.59,10.81977828,18.38,707,3359,113,2.4,1,0,0,0
1,debt_consolidation,0.1375,263.09,11.03811028,9.8,677,3089.958333,12231,81,3,0,0,1
1,debt_consolidation,0.1467,248.43,10.95080655,20.76,667,3750,13552,69.1,0,1,0,0
1,credit_card,0.1028,194.4,11.37710574,10.6,692,2489.958333,16813,63.9,0,0,0,0
1,debt_consolidation,0.1249,301.04,10.57131693,5.08,667,3690,26233,62.9,3,0,1,1
1,all_other,0.0743,163.92,11.35040654,2.64,782,9210,5760,16,0,0,0,0
1,all_other,0.1028,150.66,10.727663,3.26,687,6509.958333,105,35,1,1,0,1
1,debt_consolidation,0.1122,217.59,10.9525594,13.77,682,2160,11490,95.7,0,0,0,0
1,home_improvement,0.1312,85.23,10.59663473,20.67,692,5250,17641,30.5,3,1,0,0
1,all_other,0.1122,328.43,10.30895266,20.4,742,3270,0,0,3,0,0,0
1,all_other,0.0807,165.47,10.91508846,12,797,8790,12430,19.2,1,0,0,0
1,debt_consolidation,0.1091,140.6,10.49127422,9.87,707,1560,12323,44,0,0,0,0
1,all_other,0.1028,98.01,11.40756495,9.13,697,3300,38624,97.8,0,0,0,0
1,small_business,0.1217,166.48,9.210340372,0,662,2250,875,54.7,2,1,0,1
1,small_business,0.1249,284.32,11.35040654,6.38,667,7229.958333,1196,12,3,4,0,0
1,small_business,0.1438,194.15,13.08154138,2.4,697,2759.958333,26628,60.4,3,1,0,0
1,all_other,0.1028,138.51,10.34174248,24.81,767,5789.958333,6752,24.6,2,0,0,0
1,debt_consolidation,0.1249,70.25,9.433483923,14.4,662,1469,458,91.6,1,0,0,1
1,credit_card,0.0838,252.1,11.56171563,9.71,752,3508.958333,16786,44.7,0,0,0,0
1,all_other,0.0901,263.19,11.69524702,12.16,742,9719.958333,7336,29.9,0,0,0,0
1,all_other,0.0933,104.65,11.03488966,3.83,702,3690,7089,41.9,1,0,0,0
1,debt_consolidation,0.0807,172.53,10.89673933,6.29,742,5100,18388,68.9,0,0,0,0
1,credit_card,0.0996,38.7,10.37349118,1.13,677,1920,613,76.6,2,0,0,0
1,educational,0.1249,100.35,10.2791805,12.77,662,1110,566,51.5,3,1,0,1
1,debt_consolidation,0.128,335.98,10.50232405,18.92,682,2219,9166,50.4,1,0,0,0
1,all_other,0.1091,163.49,10.57131693,11.78,707,4889,5406,33.4,0,0,1,1
1,all_other,0.0996,32.25,10.46310334,5.83,687,2158.958333,1188,3,2,0,0,1
1,educational,0.0996,96.75,9.798127037,15.4,707,11248.95833,12003,40.4,1,0,0,0
1,all_other,0.1059,72.42,11.00209984,8.14,707,4800,20511,62,1,0,0,1
1,small_business,0.0964,90.68,11.15625052,18,732,3691,55720,10,2,0,0,0
1,all_other,0.0807,259.58,10.79957558,9.89,772,9870,7744,17.1,0,0,0,0
1,all_other,0.0964,169.32,11.15625052,17.57,737,5429.958333,51761,38,1,0,0,0
1,credit_card,0.1154,205.4,10.71441777,17.76,717,1500,579,23.2,0,0,0,0
1,debt_consolidation,0.1312,162.01,11.35040654,16.87,707,9059.958333,34776,54.3,0,0,0,1
1,debt_consolidation,0.1028,226.8,10.92233487,10.05,692,1890,8047,33.8,0,0,0,0
1,all_other,0.1059,162.73,9.61580548,24.4,737,3209.958333,0,0,3,0,0,0
1,debt_consolidation,0.1154,158.38,10.1266311,18.19,672,2586,409,81.8,0,1,0,0
1,small_business,0.0901,795.11,10.95080655,8.93,822,9696.958333,185,0.5,0,0,0,0
1,debt_consolidation,0.0996,158.83,11.33857208,4.84,727,6330,48251,50.1,2,0,0,0
1,all_other,0.1028,97.2,10.54534144,19.93,687,2580,772,96.5,0,0,0,0
1,debt_consolidation,0.1154,263.97,10.81977828,8.04,672,3089,1019,4.5,1,1,0,0
1,small_business,0.1091,404.62,10.75177778,16.39,692,5640,8332,39.9,2,0,0,0
1,all_other,0.0775,307.53,11.15625052,9.09,797,6089.958333,1790,4.5,1,0,0,0
1,debt_consolidation,0.128,839.95,11.22524339,24.85,722,6330,62739,74.7,3,0,0,1
1,all_other,0.1059,269.31,11.59910316,24.01,767,4665.958333,29901,71.2,2,0,0,1
1,debt_consolidation,0.1186,265.18,10.858999,11.31,667,1560,5867,74.3,1,0,0,0
1,home_improvement,0.0964,802.47,11.26446411,0.8,732,2129.958333,10605,22.1,1,0,0,0
1,debt_consolidation,0.1091,505.16,11.69524702,16.97,697,9659,57196,44.5,3,0,0,1
1,home_improvement,0.0901,318.05,12.52452638,2.97,712,4919,481,80.2,2,0,0,1
1,educational,0.0838,315.12,10.30895266,4.2,737,1560,2282,19,1,0,0,0
1,all_other,0.1091,130.79,9.574983486,8.92,672,1140,3614,61.3,1,0,0,0
1,debt_consolidation,0.1059,227.82,11.05879518,8.5,682,6839.958333,14930,79,1,0,1,0
1,credit_card,0.0996,643.36,11.66134547,13.07,727,10529.95833,33989,82.9,0,0,0,0
1,all_other,0.147,51.78,10.1266311,3.84,632,1530,1238,61.9,1,1,0,0
1,educational,0.0901,572.48,10.62132735,15.37,747,7500,4746,18.5,2,0,0,0
1,all_other,0.0775,149.87,9.952277717,6.34,752,3029,3470,25.5,0,0,0,0
1,all_other,0.0996,96.75,11.03488966,11.98,682,1799,12640,83.2,0,0,0,0
1,home_improvement,0.0712,92.8,11.44035477,0,812,8250,368,1.2,0,0,0,0
1,credit_card,0.1091,192.09,11.09741002,19.82,677,4290,30597,89.5,1,1,0,0
1,all_other,0.1154,593.92,10.20359214,10.8,682,5050,8537,75.5,0,0,0,0
1,debt_consolidation,0.1091,392.36,10.46310334,15.74,692,1500.041667,15649,54.5,2,0,0,0
1,educational,0.0775,156.11,10.858999,9.55,767,12960.04167,4067,7.3,0,0,0,0
1,debt_consolidation,0.1028,155.52,10.46310334,7.51,687,2795,5836,68.7,0,0,1,0
1,credit_card,0.1028,485.99,11.38509209,11.95,702,5070,24615,94.7,0,0,0,0
1,all_other,0.1028,116.64,10.30895266,7.88,687,5130.041667,7600,71.7,0,0,1,0
1,debt_consolidation,0.1122,223.34,10.83958091,18.68,682,1889.041667,9495,87.9,2,0,0,1
1,credit_card,0.0775,149.87,9.903487553,10.26,757,6330.041667,4921,30.4,0,0,0,0
1,educational,0.1154,211.17,11.46163217,1.83,667,3421.041667,11200,23.2,1,0,0,0
1,debt_consolidation,0.0743,186.45,11.13730067,6.11,777,7440.041667,2444,5.6,3,0,0,0
1,debt_consolidation,0.0933,790.86,11.00209984,0.82,767,2100,916,6.8,0,0,0,0
1,small_business,0.0901,795.11,13.33100224,3.83,782,3660,148829,6.6,5,0,0,1
1,credit_card,0.087,126.65,10.69194491,18.71,747,3630,3209,12.6,0,0,0,0
1,credit_card,0.1091,294.27,11.28978191,17.17,677,3840.041667,7570,82.3,0,0,0,0
1,debt_consolidation,0.1091,404.62,11.28978191,9.23,687,2519,13126,96.5,0,0,1,0
1,debt_consolidation,0.1186,397.77,11.91839057,20.48,687,4452.041667,66654,51.6,1,0,0,0
1,debt_consolidation,0.0743,178.68,11.46163217,1.2,812,16259.04167,50,0.3,0,0,0,0
1,educational,0.1028,29.16,9.392661929,16.7,687,2069,3084,65.6,3,0,0,1
1,small_business,0.0996,417.62,11.42954386,6.48,712,5610.041667,2598,23.8,1,0,0,0
1,credit_card,0.1059,130.18,11.03488966,17.81,682,6330.041667,18168,68.5,2,0,0,0
1,all_other,0.1122,98.53,10.40134951,22.79,682,9389,24218,85.3,2,0,0,0
1,all_other,0.0807,15.69,9.798127037,4.27,722,1470,0,0,0,0,0,0
1,credit_card,0.1091,523.14,12.20607265,10.7,697,7320,72303,73.7,1,0,0,0
1,all_other,0.087,557.23,11.9381932,0.12,757,1128.041667,1032,5,0,0,0,0
1,all_other,0.1122,315.3,10.65725935,14.6,677,3630,133,4.2,1,0,0,0
1,debt_consolidation,0.1154,527.93,10.70099475,12.16,682,2130,34023,57.7,1,2,0,1
1,major_purchase,0.0743,93.23,11.1844214,11.18,757,4500.041667,12430,29.6,5,0,0,0
1,debt_consolidation,0.0775,202.94,10.77895629,13.53,787,10260.04167,10742,8.9,3,0,0,0
1,debt_consolidation,0.1186,165.74,10.59663473,7.02,667,2789.041667,2197,75.8,0,2,0,1
1,all_other,0.1028,158.76,10.69194491,15.3,692,4410,88,23.8,1,3,0,1
1,debt_consolidation,0.1028,485.99,10.81977828,11.88,702,7020.041667,13867,33.7,0,0,0,0
1,all_other,0.0996,322.49,11.19134184,10.28,702,4920.041667,3943,98.6,3,0,0,1
1,debt_consolidation,0.087,189.97,10.08580911,19.45,757,3870.041667,5405,40,2,0,0,0
1,debt_consolidation,0.1217,376.24,10.42228135,23.96,712,3030.041667,12102,49,1,0,0,0
1,debt_consolidation,0.1217,599.33,11.61045137,18.3,682,4379,18076,81.4,1,0,0,0
1,debt_consolidation,0.1217,132.35,10.20359214,23.2,702,5279.041667,4504,39.2,1,0,0,1
1,small_business,0.1186,828.69,10.858999,9.74,712,4859.041667,25852,60.5,0,0,0,0
1,credit_card,0.1091,604.88,10.858999,17.56,707,8061,32438,43,0,1,0,0
1,debt_consolidation,0.087,538.23,10.93131966,11.51,747,6240.041667,20380,48.1,2,0,0,0
1,credit_card,0.0933,172.55,10.6454249,16.09,707,2220,38054,61.2,0,0,0,0
1,small_business,0.1091,604.88,10.49127422,4.67,697,1410,25,0.2,2,0,0,0
1,all_other,0.0996,290.24,10.54534144,3.38,697,1782,3305,55.1,2,0,0,0
1,major_purchase,0.1186,530.36,11.36674295,15.1,682,3900,348,4.8,0,0,0,1
1,all_other,0.087,158.31,10.08580911,6.15,722,1350,3015,25.3,0,0,0,0
1,debt_consolidation,0.1059,390.54,10.30895266,19.84,702,2042.041667,7336,71.9,1,0,0,0
1,credit_card,0.1249,301.04,10.858999,4.98,662,6630.041667,8644,72.6,1,0,0,0
1,small_business,0.1154,659.91,11.47210347,17.81,707,3629,93,0,2,0,0,1
1,small_business,0.0743,217.52,10.66895539,1.65,777,2879,2698,9.5,0,0,0,0
1,home_improvement,0.1028,388.79,11.48246626,5.58,697,4800.041667,19009,30,0,0,0,0
1,major_purchase,0.087,158.31,10.77895629,0.38,717,12930.04167,498,7.3,2,1,0,0
1,debt_consolidation,0.1217,319.64,11.00209984,19.28,672,4740,10358,91.7,2,0,1,1
1,credit_card,0.1028,103.68,11.22524339,9.7,682,12780,2105,45.3,0,3,0,0
1,home_improvement,0.0964,154.08,11.00209984,12.94,697,2969.041667,2822,9.9,3,0,0,0
1,debt_consolidation,0.1059,650.9,11.58988651,11.96,707,5070,21004,97.7,0,0,0,0
1,all_other,0.1375,81.74,10.75790288,24.08,667,2820,11675,75.8,1,0,0,0
1,all_other,0.0901,238.54,9.875088078,10.37,712,1230.041667,3933,43.7,0,0,0,0
1,debt_consolidation,0.128,335.98,10.98189713,7.51,662,4109.041667,7251,80.6,3,0,2,0
1,all_other,0.1217,93.23,10.71441777,19.19,692,4440.041667,88,44,1,3,0,1
1,all_other,0.0933,95.87,10.50780352,2.69,697,4680,1492,33.2,2,0,0,0
1,debt_consolidation,0.0996,95.94,10.1266311,14.16,692,1918.041667,7121,33.7,0,0,0,0
1,debt_consolidation,0.128,554.37,11.03488966,19.22,677,3060.041667,17641,69.5,2,0,0,0
1,small_business,0.1438,859.07,11.28978191,20.79,682,3059.041667,30946,61.5,3,0,0,1
1,major_purchase,0.0838,472.68,11.2515607,7.96,772,5909.041667,0,0,0,0,0,0
1,credit_card,0.1091,586.9,11.22524339,10.34,697,2669.041667,23391,90.7,1,0,0,0
1,major_purchase,0.0964,224.69,9.878169745,21.23,772,5881,16324,48,0,0,0,0
1,debt_consolidation,0.128,483.81,10.49460201,8.47,662,2670.041667,7104,93.5,2,0,0,1
1,debt_consolidation,0.1217,399.55,10.08580911,14.5,672,1950.041667,9273,43.9,0,0,0,0
1,debt_consolidation,0.1186,232.04,10.82774645,17.02,672,4380,6718,94.6,3,0,0,0
1,small_business,0.0964,802.47,11.22524339,17.06,767,5691.041667,12017,12.1,4,0,0,1
1,debt_consolidation,0.1091,304.9,11.16368368,18.96,692,5430,5749,43.2,1,1,0,0
1,small_business,0.1249,836.23,11.27545477,7.99,692,4739,6530,21.8,0,1,0,0
1,all_other,0.0775,124.89,10.08580911,6,752,2729.041667,2666,12.1,0,0,0,0
1,all_other,0.1028,113.4,10.77895629,17.65,687,2070,3761,55.4,2,0,0,0
1,credit_card,0.1407,842.47,11.69524702,12.81,677,5340.041667,33698,91.3,0,0,0,0
